"TIME","Vramp","Vo_2"
0,-2,5
0.00656,-1.98032,5
0.02856,-1.91432,5
0.05056,-1.84832,5
0.07256,-1.78232,5
0.09456,-1.71632,5
0.11656,-1.65032,5
0.13856,-1.58432,5
0.16056,-1.51832,5
0.18256,-1.45232,5
0.20456,-1.38632,5
0.22656,-1.32032,5
0.24856,-1.25432,5
0.27056,-1.18832,5
0.29256,-1.12232,5
0.31456,-1.05632,5
0.33656,-0.99032,5
0.35856,-0.92432,5
0.38056,-0.85832,5
0.40256,-0.79232,5
0.42456,-0.72632,5
0.44656,-0.66032,5
0.46856,-0.59432,5
0.49056,-0.52832,5
0.51256,-0.46232,5
0.53456,-0.39632,5
0.55656,-0.33032,5
0.57856,-0.26432,5
0.60056,-0.19832,5
0.62256,-0.13232,5
0.64456,-0.06632,5
0.66656,-0.00032,5
0.68856,0.06568,5
0.71056,0.13168,5
0.73256,0.19768,5
0.75456,0.26368,5
0.77656,0.32968,4.99999
0.79856,0.39568,4.99991
0.81456,0.44368,4.99942
0.82056,0.46168,4.99868
0.82456,0.47368,4.99819
0.83056,0.49168,4.99648
0.83656,0.50968,4.99336
0.84056,0.52168,4.9901
0.84256,0.52768,4.98784
0.84456,0.53368,4.98558
0.84856,0.54568,4.97959
0.85256,0.55768,4.97201
0.85656,0.56968,4.96281
0.86056,0.58168,4.95205
0.86456,0.59368,4.93988
0.86856,0.60568,4.92644
0.87456,0.62368,4.90427
0.88056,0.64168,4.88014
0.88656,0.65968,4.85443
0.8951026715,0.685308,4.81574
0.9013290644,0.703987,4.78632
0.9053290644,0.715987,4.76684
0.9093290644,0.727987,4.74736
0.9193290644,0.757987,4.6972
0.9273290644,0.781987,4.65608
0.9293290644,0.787987,4.6458
0.9413290644,0.823987,4.58286
0.9493290644,0.847987,4.54014
0.9553290644,0.865987,4.5081
0.9693290644,0.907987,4.43225
0.9713290644,0.913987,4.42128
0.9853290644,0.955987,4.34453
0.9933290644,0.979987,4.30021
1.003329064,1.00999,4.24481
1.015329064,1.04599,4.17774
1.023329064,1.06999,4.13303
1.037329064,1.11199,4.0542
1.045329064,1.13599,4.00915
1.059329064,1.17799,3.92982
1.067329064,1.20199,3.88449
1.081329064,1.24399,3.80478
1.089329064,1.26799,3.75923
1.103329064,1.30999,3.67919
1.111329064,1.33399,3.63346
1.125329064,1.37599,3.55316
1.133329064,1.39999,3.50728
1.147329064,1.44199,3.42676
1.155329064,1.46599,3.38074
1.169329064,1.50799,3.30003
1.177329064,1.53199,3.25391
1.191329064,1.57399,3.17304
1.199329064,1.59799,3.12682
1.213329064,1.63999,3.0458
1.221329064,1.66399,2.99951
1.235329064,1.70599,2.91836
1.243329064,1.72999,2.87199
1.257329064,1.77199,2.79074
1.265329064,1.79599,2.74431
1.279329064,1.83799,2.66296
1.287329064,1.86199,2.61647
1.301329064,1.90399,2.53503
1.309329064,1.92799,2.48849
1.323329064,1.96999,2.40697
1.331329064,1.99399,2.36038
1.345329064,2.03599,2.27879
1.353329064,2.05999,2.23217
1.367329064,2.10199,2.15051
1.375329064,2.12599,2.10385
1.389329064,2.16799,2.02214
1.397329064,2.19199,1.97544
1.411329064,2.23399,1.89371
1.415329064,2.24599,1.87035
1.421329064,2.26399,1.83556
1.425329064,2.27599,1.81303
1.427329064,2.28199,1.80237
1.429329064,2.28799,1.79251
1.431329064,2.29399,1.78384
1.433329064,2.29999,1.77674
1.435329064,2.30599,1.77135
1.437329064,2.31199,1.76764
1.439329064,2.31799,1.76539
1.441329064,2.32399,1.76435
1.443329064,2.32999,1.76426
1.445329064,2.33599,1.76494
1.447329064,2.34199,1.76623
1.449329064,2.34799,1.76801
1.453329064,2.35999,1.77272
1.455329064,2.36599,1.77563
1.457329064,2.37199,1.77855
1.461329064,2.38399,1.78521
1.465329064,2.39599,1.79247
1.469329064,2.40799,1.8002
1.475329064,2.42599,1.81248
1.477329064,2.43199,1.81678
1.481329064,2.44399,1.82538
1.487329064,2.46199,1.83876
1.495329064,2.48599,1.85716
1.499329064,2.49799,1.86661
1.503329064,2.50999,1.87605
1.513329064,2.53999,1.90021
1.521329064,2.56399,1.91993
1.525329064,2.57599,1.9298
1.537329064,2.61199,1.95988
1.543329064,2.62999,1.97513
1.551329064,2.65399,1.99545
1.565329064,2.69599,2.03146
1.567329064,2.70199,2.0366
1.585329064,2.75599,2.08337
1.587329064,2.76199,2.08861
1.607329064,2.82199,2.14105
1.609329064,2.82799,2.14634
1.629329064,2.88799,2.19918
1.631329064,2.89399,2.2045
1.651329064,2.95399,2.25766
1.653329064,2.95999,2.263
1.673329064,3.01999,2.31642
1.675329064,3.02599,2.32178
1.695329064,3.08599,2.3754
1.697329064,3.09199,2.38078
1.717329064,3.15199,2.43457
1.719329064,3.15799,2.43997
1.739329064,3.21799,2.49391
1.741329064,3.22399,2.49931
1.761329064,3.28399,2.55338
1.763329064,3.28999,2.5588
1.783329064,3.34999,2.61297
1.785329064,3.35599,2.6184
1.805329064,3.41599,2.67267
1.807329064,3.42199,2.6781
1.827329064,3.48199,2.73246
1.829329064,3.48799,2.7379
1.849329064,3.54799,2.79233
1.851329064,3.55399,2.79778
1.871329064,3.61399,2.85227
1.873329064,3.61999,2.85773
1.893329064,3.67999,2.91228
1.895329064,3.68599,2.91774
1.915329064,3.74599,2.97235
1.917329064,3.75199,2.97782
1.937329064,3.81199,3.03248
1.939329064,3.81799,3.03795
1.959329064,3.87799,3.09265
1.961329064,3.88399,3.09812
1.981329064,3.94399,3.15287
1.983329064,3.94999,3.15835
2,4,3.20401
